className,method,score
Optional[cn.nc.user.validation.BlankOrPatternValidator],cn.nc.user.validation.BlankOrPatternValidator#initialize,1
Optional[cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto],cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto#setPublisherContactName,0
Optional[cn.nc.pub.msg.service.dto.other.InstanceSubStageRepayInfo],cn.nc.pub.msg.service.dto.other.InstanceSubStageRepayInfo#getReplayDate,1
Optional[cn.nc.user.reguser.converter.UserInfoRespConverter],cn.nc.user.reguser.converter.UserInfoRespConverter#toDtoList,0
Optional[cn.nc.issuance.dist.facade.controller.DistributionManageQueryDistInfoController],cn.nc.issuance.dist.facade.controller.DistributionManageQueryDistInfoController#doService,1
Optional[cn.nc.pub.msg.converter.MailSmtpMapper],cn.nc.pub.msg.converter.MailSmtpMapper#poToResp,0
Optional[cn.nc.user.archive.dto.FileArchiveSubDto],cn.nc.user.archive.dto.FileArchiveSubDto#setRemark,0
Optional[cn.nc.pub.msg.converter.MsgSendRecordMapper],cn.nc.pub.msg.converter.MsgSendRecordMapper#poPageToDtoPage,0
Optional[cn.nc.issuance.common.utils.CommonLogic],cn.nc.issuance.common.utils.CommonLogic#isCfae,1
Optional[cn.nc.user.index.facade.controller.GetStatisticsUserController],cn.nc.user.index.facade.controller.GetStatisticsUserController#getStatisticsUserListByLogin,1
Optional[cn.nc.channel.backend.service.dto.user.InstUserDto],cn.nc.channel.backend.service.dto.user.InstUserDto#getInstUserCode,1
Optional[cn.nc.common.message.base.facade.ReqHead],cn.nc.common.message.base.facade.ReqHead#setStartChnlFgCd,0
Optional[cn.nc.user.sync.query.dto.CfaeRegisterUserDto],cn.nc.user.sync.query.dto.CfaeRegisterUserDto#getLoginErrorCount,1
Optional[cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl],cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl#getPublisherNameStatistics,1
Optional[cn.nc.issuance.book.dcm.service.dto.directinvestor.DirectInvestorDetailDto],cn.nc.issuance.book.dcm.service.dto.directinvestor.DirectInvestorDetailDto#getAuditStatus,1
